The SAS System                                                                       22:03 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
owage             2576838      19.1283602         1149.29     0.000961538       320000.00
ic                2576838      -1.0000000               0      -1.0000000      -1.0000000
euro              2576838               0               0               0               0
hi_asian          2576838               0               0               0               0
mid_asian         2576838               0               0               0               0
mex               2576838               0               0               0               0
yrsinus           2576838               0               0               0               0
pre_exp           2576838               0               0               0               0
pre_exp1          2576838               0               0               0               0
yrsinus2          2576838               0               0               0               0
euro_ed           2576838               0               0               0               0
hi_asian_ed       2576838               0               0               0               0
mid_asian_ed      2576838               0               0               0               0
mex_ed            2576838               0               0               0               0
euro_coll         2576838               0               0               0               0
hi_asian_coll     2576838               0               0               0               0
mid_asian_coll    2576838               0               0               0               0
mex_coll          2576838               0               0               0               0
euro_yrs          2576838               0               0               0               0
hi_asian_yrs      2576838               0               0               0               0
mid_asian_yrs     2576838               0               0               0               0
mex_yrs           2576838               0               0               0               0
euro_yrs2         2576838               0               0               0               0
hi_asian_yrs2     2576838               0               0               0               0
mid_asian_yrs2    2576838               0               0               0               0
mex_yrs2          2576838               0               0               0               0
imm_ed            2576838               0               0               0               0
imm_coll          2576838               0               0               0               0
asian             2576838       0.0079343       0.5653291               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019   4

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
asian_ed          2576838       0.1132245       8.2141707               0      20.0000000
black_ed          2576838       1.5424839      26.9890766               0      20.0000000
asian_coll        2576838       0.0034581       0.3740598               0       1.0000000
black_coll        2576838       0.0187804       0.8649928               0       1.0000000
hisp_ed           2576838       0.7605401      19.3904937               0      20.0000000
hisp_coll         2576838       0.0084214       0.5822798               0       1.0000000
p1                2576838       0.0728355       0.4734772       0.0010635       0.6671970
p2                2576838       0.0850152       0.3936371       0.0027291       0.2315473
p3                2576838       0.0850856       0.3171910       0.0049487       0.1591841
p4                2576838       0.0957206       0.2667350       0.0103030       0.1439071
p5                2576838       0.0969577       0.2034524       0.0175462       0.1332594
p6                2576838       0.0951618       0.1383997       0.0155951       0.1217199
p7                2576838       0.1132200       0.1845631       0.0087660       0.1489274
p8                2576838       0.1090382       0.3104633       0.0034117       0.1707784
p9                2576838       0.1135598       0.4792820       0.0014579       0.2328081
p10               2576838       0.1334056       0.7589844     0.000336084       0.5411772
rmsa              2576838         2619.76        18627.58               0         9320.00
dev               2576838       0.0179376       4.3373908      -1.2616779       2.9380272
devsq             2576838       0.4636655       5.3405319    2.002909E-10       8.6320039
nonmover          2576838       0.6125648       3.1042198               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019   5

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state              752024      23.2849701      76.0967599       1.0000000      56.0000000
msa                752024         5748.96        13340.06      40.0000000         9999.00
age                752024      38.1660055      51.4272250      18.0000000      68.0000000
black              752024       0.0699466       1.1900355               0       1.0000000
grade              752024       9.0533715      18.4929215       1.0000000      16.0000000
educ               752024      11.9257439      20.6994493               0      20.0000000
english            631194       2.0084724       4.7042068       1.0000000       4.0000000
pob                752024     271.1570558     358.3983167     100.0000000     528.0000000
imm                752024       1.0000000               0       1.0000000       1.0000000
hispanic           752024       0.4674817       2.3279425               0       1.0000000
female             752024       0.4209848       2.3035671               0       1.0000000
annhrs             752024         1846.19         3539.83       1.0000000         5148.00
dropout            752024       0.3467513       2.2206034               0       1.0000000
somecoll           752024       0.2025201       1.8750664               0       1.0000000
collplus           752024       0.2568395       2.0384256               0       1.0000000
eclass             752024       2.3694478       5.5991831       1.0000000       4.0000000
c                  752024       1.0000000               0       1.0000000       1.0000000
advanced           752024       0.1094014       1.4563816               0       1.0000000
inschool           752024       0.1012219       1.4072985               0       1.0000000
exp                752024      18.7738613      51.2816238       1.0000000      45.0000000
xclass             752024       4.1598576      10.2629519       1.0000000       9.0000000
exp2               752024       4.7326087      22.1405614       0.0100000      20.2500000
exp3               752024      13.9063787      89.0509945     0.000999999      91.1250000
logwage2           752024       2.5165339       3.4026847       1.3513145       5.5510178
owage              752024      18.3343602     370.7583944       0.0016667        36111.11
ic                 752024      12.3367667      58.1087631       1.0000000      38.0000000
euro               752024       0.1639052       1.7272166               0       1.0000000
hi_asian           752024       0.1040930       1.4248363               0       1.0000000
mid_asian          752024       0.1193541       1.5126622               0       1.0000000
mex                752024       0.3009017       2.1399524               0       1.0000000
yrsinus            752024      15.8690438      51.6255019               0      71.0000000
pre_exp            752024       2.9048175      51.5410884     -28.0000000      45.0000000
pre_exp1           752024       0.2172975       1.9241920               0       1.0000000
yrsinus2           752024     374.2552452         2213.93               0         5041.00
euro_ed            752024       2.2990880      24.9689219               0      20.0000000
hi_asian_ed        752024       1.5836229      22.1684711               0      20.0000000
mid_asian_ed       752024       1.6146847      21.3820657               0      20.0000000
mex_ed             752024       2.6445096      21.6315685               0      20.0000000
euro_coll          752024       0.0640502       1.1423764               0       1.0000000
hi_asian_coll      752024       0.0639090       1.1412029               0       1.0000000
mid_asian_coll     752024       0.0490955       1.0081195               0       1.0000000
mex_coll           752024       0.0120853       0.5098132               0       1.0000000
euro_yrs           752024       3.3409762      45.1128074               0      71.0000000
hi_asian_yrs       752024       1.5740985      26.1708834               0      63.0000000
mid_asian_yrs      752024       1.8093464      27.2993530               0      70.0000000
mex_yrs            752024       4.3294682      39.9534715               0      63.0000000
euro_yrs2          752024     104.6497949         1774.22               0         5041.00
hi_asian_yrs2      752024      33.9401541     719.4402817               0         3969.00
mid_asian_yrs2     752024      37.5078687     742.1466739               0         4900.00
mex_yrs2           752024      92.0712550         1179.76               0         3969.00
imm_ed             752024      11.9257439      20.6994493               0      20.0000000
imm_coll           752024       0.2568395       2.0384256               0       1.0000000
asian              752024       0.2369175       1.9838417               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                       22:03 Wednesday, March 27, 2019   6

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
asian_ed           752024       3.3343657      29.2177828               0      20.0000000
black_ed           752024       0.9161552      16.0398044               0      20.0000000
asian_coll         752024       0.1137072       1.4811712               0       1.0000000
black_coll         752024       0.0175341       0.6123824               0       1.0000000
hisp_ed            752024       4.5361519      26.4654217               0      20.0000000
hisp_coll          752024       0.0380617       0.8927717               0       1.0000000
