The SAS System                                                                     14:43 Thursday, December 11, 2008   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
wage              2495603      12.4558131      79.6534796       2.5125000     167.5000000
owage             2495603      12.9323994     264.2070331     0.000194250        27500.00
wage2             2357820      12.3049427      77.1073816       2.5125000     167.5000000
logwage2          2357820       2.2635548       4.2541283       0.9212783       5.1209834
female            3272664       0.4989422       3.1714472               0       1.0000000
c                 3272664       1.0000000               0       1.0000000       1.0000000
inschool          3272664       0.0956473       1.8654936               0       1.0000000
exp2              3272664       5.1564718      35.3493377       0.0100000      20.2500000
exp3              3272664      16.4647841     148.7436679     0.000999999      91.1250000
ic                3272664      -1.0000000               0      -1.0000000      -1.0000000
yrsinus           3272664               0               0               0               0
pre_exp           3272664               0               0               0               0
pre_exp1          3272664               0               0               0               0
yrsinus2          3272664               0               0               0               0
euro              3272664               0               0               0               0
hi_asian          3272664               0               0               0               0
mid_asian         3272664               0               0               0               0
mex               3272664               0               0               0               0
euro_ed           3272664               0               0               0               0
euro_coll         3272664               0               0               0               0
hi_asian_ed       3272664               0               0               0               0
hi_asian_coll     3272664               0               0               0               0
mid_asian_ed      3272664               0               0               0               0
mid_asian_coll    3272664               0               0               0               0
mex_ed            3272664               0               0               0               0
mex_coll          3272664               0               0               0               0
euro_yrs          3272664               0               0               0               0
hi_asian_yrs      3272664               0               0               0               0
mid_asian_yrs     3272664               0               0               0               0
mex_yrs           3272664               0               0               0               0
euro_yrs2         3272664               0               0               0               0
hi_asian_yrs2     3272664               0               0               0               0
mid_asian_yrs2    3272664               0               0               0               0
mex_yrs2          3272664               0               0               0               0
-----------------------------------------------------------------------------------------
The SAS System                                                                     14:43 Thursday, December 11, 2008   4

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
imm_ed            3272664               0               0               0               0
imm_coll          3272664               0               0               0               0
asian             3272664       0.0067431       0.5190964               0       1.0000000
black             3272664       0.1212553       2.0704757               0       1.0000000
asian_ed          3272664       0.0924367       7.2546832               0      20.0000000
black_ed          3272664       1.4516560      25.5001784               0      20.0000000
asian_coll        3272664       0.0022460       0.3002678               0       1.0000000
black_coll        3272664       0.0127926       0.7128059               0       1.0000000
hisp_ed           3272664       0.5665380      16.3776336               0      20.0000000
hisp_coll         3272664       0.0045685       0.4277388               0       1.0000000
p1                3272664       0.0879111       0.5176332       0.0010635       0.6671970
p2                3272664       0.0965117       0.4114028       0.0027291       0.2315465
p3                3272664       0.0927526       0.3170564       0.0049487       0.1591841
p4                3272664       0.1009220       0.2545627       0.0103030       0.1439071
p5                3272664       0.0991223       0.1878010       0.0175462       0.1332594
p6                3272664       0.0946279       0.1341932       0.0155951       0.1217199
p7                3272664       0.1094053       0.2008879       0.0087660       0.1489274
p8                3272664       0.1021823       0.3216394       0.0034117       0.1707784
p9                3272664       0.1027358       0.4714587       0.0014579       0.2328081
p10               3272664       0.1138289       0.7151294     0.000336084       0.5411772
rmsa              3272664         2850.36        18652.92               0         9320.00
dev               2357820       0.0075796       4.2541283      -1.3346969       2.8650082
devsq             2357820       0.4468206       4.6127238    2.342299E-11       8.2082717
nonmover          3272664       0.6145062       3.0871681               0       1.0000000
emp               3272664       0.8159064       2.4582606               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                     14:43 Thursday, December 11, 2008   5

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state              670202      22.1408457      74.9174350       1.0000000      56.0000000
age                670202      37.9964204      55.1078408      18.0000000      68.0000000
pob                670202     275.5655152     481.8796685     100.0000000     555.0000000
imm                670202       1.0000000               0       1.0000000       1.0000000
hispanic           670202       0.4227479       2.2960423               0       1.0000000
english            670202       1.6405184       5.6339929               0       4.0000000
weeks              670202      33.1509863     102.4712315               0      52.0000000
