30kThe SAS System                                                                     17:32 Saturday, December 27, 2008   1

Obs    _NAME_         COL1       COL2       COL3       COL4       COL5

  1    emp            0.81       0.66       0.79       0.85       0.88
  2    annhrs      1545.74    1093.79    1502.26    1641.83    1799.37
  3    cannhrs     1906.74    1652.85    1892.10    1925.07    2034.23
  4    ft             0.68       0.52       0.67       0.71       0.77
  5    educ          13.03       8.89      12.00      13.24      16.86
  6    age           40.46      36.78      40.64      40.69      42.59
  7    x1             0.25       0.28       0.22       0.26       0.26
  8    x2             0.27       0.23       0.26       0.28       0.29
  9    x3             0.26       0.23       0.26       0.26       0.27
 10    x4             0.23       0.27       0.26       0.20       0.18
 11    black          0.12       0.16       0.13       0.12       0.07
 12    hispanic       0.12       0.33       0.10       0.08       0.05
 13    rmsa0          0.19       0.21       0.25       0.19       0.12
 14    rmsa1          0.14       0.14       0.15       0.15       0.13
 15    q1             0.17       0.32       0.20       0.15       0.06
 16    q2             0.19       0.23       0.21       0.20       0.12
 17    q3             0.19       0.19       0.20       0.21       0.17
 18    q4             0.22       0.16       0.21       0.23       0.25
 19    q5             0.23       0.09       0.18       0.22       0.40
 20    q1c            0.16       0.31       0.20       0.15       0.06
 21    q2c            0.18       0.23       0.21       0.19       0.12
 22    q3c            0.19       0.19       0.20       0.21       0.17
 23    q4c            0.22       0.17       0.21       0.23       0.25
 24    q5c            0.24       0.10       0.18       0.22       0.40
 25    imm            0.14       0.31       0.10       0.09       0.14
 26    female         0.50       0.46       0.50       0.53       0.49
 27    wage2         18.18      12.28      14.40      16.94      26.85
 28    logwage2       2.62       2.22       2.44       2.61       3.02
The SAS System                                                                     17:32 Saturday, December 27, 2008   2

  Obs    rmsa        count      imm        mex      dropout       hs      somecoll    college    logwage2
  277    3600       663170    0.06923    0.00266    0.14726    0.29728     0.32310    0.16028     2.58132
  278    3640       381025    0.47448    0.01469    0.25364    0.26441     0.21342    0.17932     2.65745
  279    3660       264228    0.01375    0.00153    0.19041    0.35126     0.27510    0.12332     2.44842
  280    3720       259219    0.04046    0.00863    0.12604    0.29769     0.34383    0.15244     2.58875
The SAS System                                                                     17:32 Saturday, December 27, 2008   3

  Obs    rmsa     count       imm        mex      dropout       hs      somecoll    college    logwage2

  281    3760     995060    0.06336    0.02135    0.12358    0.27033     0.31525    0.19391     2.65421
  282    3840     409338    0.02605    0.00306    0.17094    0.31374     0.27336    0.15450     2.52349
  283    3980     269532    0.08278    0.03345    0.23089    0.33757     0.27658    0.10699     2.44996
  284    4000     255578    0.04117    0.00240    0.19638    0.37542     0.21376    0.14594     2.58730
  285    4040     255180    0.05294    0.00300    0.09519    0.24450     0.37360    0.17084     2.64915
  286    4120     947055    0.21638    0.10645    0.21296    0.29822     0.33077    0.10699     2.60348
  287    4280     265117    0.04561    0.01202    0.17616    0.26694     0.28824    0.16136     2.52037
  288    4400     354115    0.02894    0.00725    0.14054    0.30915     0.30259    0.16672     2.52784
  289    4480    5640434    0.48344    0.21850    0.30481    0.18489     0.26799    0.15983     2.62519
  290    4520     656091    0.03469    0.00599    0.15758    0.31639     0.30023    0.14175     2.58180
  291    4720     263178    0.07625    0.01561    0.07380    0.20183     0.31016    0.25146     2.69921
  292    4880     289993    0.41894    0.39764    0.46936    0.21767     0.19465    0.07924     2.20762
  293    4900     276514    0.07842    0.00336    0.11812    0.27471     0.35671    0.16177     2.58172
  294    4920     656057    0.04416    0.01269    0.17773    0.28270     0.30571    0.15494     2.59962
  295    5000    1304011    0.61880    0.01276    0.26864    0.23684     0.26903    0.12988     2.50806
  296    5015     708145    0.26587    0.01393    0.10710    0.25200     0.24065    0.24515     2.91406
  297    5080     873980    0.06399    0.02358    0.13967    0.27552     0.30244    0.19586     2.68616
  298    5120    1726740    0.08481    0.01394    0.09072    0.23367     0.33394    0.23862     2.77520
  299    5160     314658    0.02891    0.00261    0.19913    0.32273     0.28535    0.12575     2.48827
  300    5170     249701    0.24837    0.15598    0.28897    0.26044     0.30715    0.10131     2.56097
  301    5190     637666    0.10597    0.01271    0.10482    0.29764     0.29119    0.20475     2.85570
  302    5360     752920    0.06066    0.01746    0.16796    0.28205     0.27717    0.19197     2.62031
  303    5380    1615467    0.18512    0.00416    0.11348    0.26948     0.28678    0.18918     2.90539
  304    5480     348166    0.10847    0.00961    0.12261    0.29895     0.26567    0.16660     2.76885
  305    5560     799341    0.06286    0.00334    0.20530    0.28422     0.28259    0.14750     2.51468
  306    5600    5610204    0.42236    0.02109    0.23389    0.23509     0.22653    0.17553     2.76916
  307    5640    1202181    0.24490    0.00491    0.15604    0.26864     0.24181    0.20981     2.86036
  308    5720     928445    0.05839    0.00161    0.12666    0.29452     0.34862    0.15014     2.50415
  309    5775    1463186    0.30817    0.07743    0.15288    0.18865     0.30948    0.22082     2.87803
  310    5880     679460    0.07200    0.02962    0.15501    0.28438     0.32741    0.15994     2.47408
  311    5920     347242    0.06650    0.02980    0.11635    0.24043     0.33773    0.21721     2.58744
  312    5945    1719730    0.38718    0.18003    0.22069    0.16788     0.31082    0.20194     2.75375
  313    5960     979572    0.15372    0.01597    0.16030    0.26443     0.32147    0.17921     2.55092
  314    6080     243963    0.04570    0.00179    0.15796    0.28282     0.34469    0.13998     2.47588
  315    6160    2936751    0.08756    0.00394    0.14260    0.30586     0.25490    0.18736     2.75241
  316    6200    1942974    0.17936    0.11659    0.20025    0.22203     0.33607    0.16324     2.62976
  317    6280    1351980    0.02947    0.00082    0.09435    0.36278     0.27551    0.17416     2.59461
  318    6440    1193474    0.13318    0.04372    0.13215    0.22935     0.34675    0.19679     2.69138
  319    6480     730507    0.14560    0.00308    0.18074    0.27650     0.27361    0.17307     2.65199
  320    6640     743265    0.11709    0.03863    0.13635    0.20466     0.27638    0.24435     2.67966
  321    6760     594021    0.05765    0.00478    0.14592    0.26100     0.28354    0.21134     2.65364
  322    6780    1798735    0.26685    0.17208    0.26013    0.25360     0.33205    0.10235     2.59865
  323    6840     662185    0.06411    0.00118    0.13252    0.27767     0.30874    0.16887     2.63483
  324    6920     957915    0.17176    0.04706    0.14405    0.22126     0.37510    0.18005     2.70899
  325    7040    1512985    0.03905    0.00339    0.12979    0.27560     0.31828    0.17705     2.64856
  326    7160     755882    0.11404    0.04703    0.14317    0.24736     0.36726    0.16547     2.58259
  327    7240     900944    0.13899    0.09655    0.21181    0.25932     0.30871    0.14425     2.48137
  328    7320    1668847    0.27608    0.13631    0.16858    0.20460     0.34078    0.18502     2.64162
  329    7360    1132398    0.36934    0.05409    0.14054    0.13826     0.26833    0.28891     2.92562
  330    7400    1059346    0.42962    0.10530    0.16107    0.15394     0.27805    0.24342     2.95960
  331    7500     278887    0.17429    0.09567    0.15218    0.19542     0.36877    0.19757     2.74864
  332    7510     312003    0.10627    0.02756    0.14856    0.29616     0.31113    0.15852     2.55103
  333    7560     346644    0.02218    0.00149    0.12201    0.40727     0.27194    0.12809     2.52341
  334    7600    1479326    0.16527    0.01985    0.09900    0.19831     0.33834    0.24899     2.80295
  335    7840     245494    0.04492    0.00208    0.10120    0.24897     0.39273    0.16458     2.55889
  336    8000     325015    0.08877    0.00155    0.15375    0.28854     0.30181    0.15426     2.62781
The SAS System                                                                     17:32 Saturday, December 27, 2008   4

  Obs    rmsa     count       imm        mex      dropout       hs      somecoll    college    logwage2

  337    8120     312418    0.26737    0.14402    0.28417    0.25731     0.32129    0.09654     2.57949
  338    8160     412858    0.04905    0.00038    0.13330    0.30996     0.30344    0.15149     2.60061
  339    8200     419502    0.10225    0.01478    0.13199    0.29382     0.37342    0.13760     2.64214
  340    8280    1358026    0.11904    0.01615    0.15906    0.28548     0.32326    0.15730     2.56096
  341    8400     352360    0.03545    0.00313    0.13835    0.33833     0.31411    0.13538     2.57750
  342    8520     488664    0.15370    0.09716    0.16098    0.22519     0.34984    0.15868     2.51408
  343    8560     414813    0.05929    0.02777    0.14981    0.27665     0.32910    0.17163     2.54330
  344    8720     313875    0.22501    0.09221    0.17335    0.22704     0.37778    0.15512     2.74207
  345    8735     444185    0.27690    0.17422    0.21274    0.19013     0.33531    0.17047     2.74484
  346    8840    3111741    0.21335    0.00935    0.13116    0.20958     0.24706    0.22960     2.84236
  347    8960     624605    0.22162    0.02130    0.17048    0.23352     0.30680    0.19164     2.67326
  348    9040     315584    0.07915    0.03374    0.13546    0.29381     0.32132    0.17004     2.58271
  349    9160     357920    0.07426    0.01350    0.12953    0.31419     0.27344    0.18286     2.75791
  350    9240     291625    0.10322    0.00098    0.13290    0.28620     0.28348    0.18642     2.74328
  351    9320     338394    0.02309    0.00205    0.14205    0.42521     0.27065    0.11220     2.51009
