The SAS System                                                                     17:18 Saturday, December 27, 2008   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
eclass            3519255       2.6717993       6.3634816       1.0000000       4.0000000
c                 3519255       1.0000000               0       1.0000000       1.0000000
advanced          3519255       0.0862011       1.7782180               0       1.0000000
inschool          3519255       0.0854715       1.7713831               0       1.0000000
exp               3519255      20.5742627      76.2064974       1.0000000      45.0000000
xclass            3519255       4.5223990      15.1613625       1.0000000       9.0000000
wage              2693811      18.4784108     135.7902096       3.8624992     257.5000000
wage2             2573296      18.3111831     133.5559593       3.8624992     257.5000000
exp2              3519255       5.6796977      34.1854757       0.0100000      20.2500000
exp3              3519255      17.9349021     143.1715538     0.000999999      91.1250000
logwage2          2573296       2.6309806       4.3370498       1.3513145       5.5510178
owage             2693811      19.5155941         1395.55       0.0010256       320000.00
ic                3519255      -1.0000000               0      -1.0000000      -1.0000000
euro              3519255               0               0               0               0
hi_asian          3519255               0               0               0               0
mid_asian         3519255               0               0               0               0
mex               3519255               0               0               0               0
yrsinus           3519255               0               0               0               0
pre_exp           3519255               0               0               0               0
pre_exp1          3519255               0               0               0               0
yrsinus2          3519255               0               0               0               0
euro_ed           3519255               0               0               0               0
hi_asian_ed       3519255               0               0               0               0
mid_asian_ed      3519255               0               0               0               0
mex_ed            3519255               0               0               0               0
euro_coll         3519255               0               0               0               0
hi_asian_coll     3519255               0               0               0               0
mid_asian_coll    3519255               0               0               0               0
mex_coll          3519255               0               0               0               0
euro_yrs          3519255               0               0               0               0
hi_asian_yrs      3519255               0               0               0               0
mid_asian_yrs     3519255               0               0               0               0
mex_yrs           3519255               0               0               0               0
euro_yrs2         3519255               0               0               0               0
-----------------------------------------------------------------------------------------
The SAS System                                                                     17:18 Saturday, December 27, 2008   4

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
hi_asian_yrs2     3519255               0               0               0               0
mid_asian_yrs2    3519255               0               0               0               0
mex_yrs2          3519255               0               0               0               0
imm_ed            3519255               0               0               0               0
imm_coll          3519255               0               0               0               0
asian             3519255       0.0077669       0.5562038               0       1.0000000
asian_ed          3519255       0.1096427       8.0114990               0      20.0000000
black_ed          3519255       1.5596071      26.6765909               0      20.0000000
asian_coll        3519255       0.0032294       0.3594713               0       1.0000000
black_coll        3519255       0.0166650       0.8110666               0       1.0000000
hisp_ed           3519255       0.7519113      18.9920124               0      20.0000000
hisp_coll         3519255       0.0074107       0.5433994               0       1.0000000
p1                3519255       0.0763391       0.4954799       0.0010635       0.6671970
p2                3519255       0.0878334       0.4006679       0.0027291       0.2315473
p3                3519255       0.0869764       0.3185997       0.0049487       0.1591841
p4                3519255       0.0968201       0.2655833       0.0103030       0.1439071
p5                3519255       0.0972940       0.2021932       0.0175462       0.1332594
p6                3519255       0.0946419       0.1396828       0.0155951       0.1217199
p7                3519255       0.1116687       0.1892266       0.0087660       0.1489274
p8                3519255       0.1067264       0.3129372       0.0034117       0.1707784
p9                3519255       0.1108002       0.4792704       0.0014579       0.2328081
p10               3519255       0.1308998       0.7597208     0.000336084       0.5411772
rmsa              3519255         2818.72        18608.35               0         9320.00
dev               2573296       0.0179890       4.3370510      -1.2616779       2.9380272
devsq             2573296       0.4637284       5.3394536    2.002909E-10       8.6320039
nonmover          3519255       0.6123050       3.0869693               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                     17:18 Saturday, December 27, 2008   5

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state             1088454      23.1672444      76.3513669       1.0000000      56.0000000
msa               1088454         5110.52        11650.25      40.0000000         9999.00
age               1088454      38.5821616      54.1143498      18.0000000      68.0000000
black             1088454       0.0639484       1.1398820               0       1.0000000
grade             1088454       8.7943889      18.6671321       1.0000000      16.0000000
educ              1088454      11.6416252      21.0745398               0      20.0000000
english            917260       2.0976342       4.8415291       1.0000000       4.0000000
pob               1088454     270.4079204     357.4731151     100.0000000     528.0000000
weeks             1088454      33.8071659     102.7171808               0      52.0000000
