The SAS System                                                                          17:16 Friday, March 22, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
pre_exp           2034307               0               0               0               0
pre_exp1          2034307               0               0               0               0
euro_ed           2034307               0               0               0               0
hi_asian_ed       2034307               0               0               0               0
mid_asian_ed      2034307               0               0               0               0
mex_ed            2034307               0               0               0               0
euro_coll         2034307               0               0               0               0
hi_asian_coll     2034307               0               0               0               0
mid_asian_coll    2034307               0               0               0               0
mex_coll          2034307               0               0               0               0
euro_yrs          2034307               0               0               0               0
hi_asian_yrs      2034307               0               0               0               0
mid_asian_yrs     2034307               0               0               0               0
mex_yrs           2034307               0               0               0               0
euro_yrs2         2034307               0               0               0               0
hi_asian_yrs2     2034307               0               0               0               0
mid_asian_yrs2    2034307               0               0               0               0
mex_yrs2          2034307               0               0               0               0
imm_ed            2034307               0               0               0               0
imm_coll          2034307               0               0               0               0
inschool          2034307       0.0796699       0.3829429               0       1.0000000
exp2              2034307       4.6437010       7.6868526       0.0100000      20.2500000
exp3              2034307      14.7450734      31.2335025       0.0010000      91.1250000
asian             2034307       0.0059509       0.1087705               0       1.0000000
black             2034307       0.1089550       0.4406447               0       1.0000000
asian_ed          2034307       0.0803301       1.5004543               0      20.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                          17:16 Friday, March 22, 2019   4

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
black_ed          2034307       1.2759805       5.3397871               0      20.0000000
asian_coll        2034307       0.0016389       0.0572049               0       1.0000000
black_coll        2034307       0.0106739       0.1453271               0       1.0000000
hisp_ed           2034307       0.4355316       3.1855011               0      20.0000000
hisp_coll         2034307       0.0029450       0.0766330               0       1.0000000
p1                2034307       0.0991935       0.1200751       0.0010635       0.7157922
p2                2034307       0.1018638       0.0937462       0.0027291       0.2315477
p3                2034307       0.0951005       0.0697257       0.0049487       0.1591841
p4                2034307       0.1021389       0.0533938       0.0103030       0.1439071
p5                2034307       0.0988288       0.0375833       0.0175462       0.1332594
p6                2034307       0.0940444       0.0287170       0.0155951       0.1217200
p7                2034307       0.1083843       0.0479049       0.0087660       0.1489274
p8                2034307       0.1007768       0.0739448       0.0034117       0.1707784
p9                2034307       0.0988790       0.1032673       0.0014046       0.2328081
p10               2034307       0.1007900       0.1490998     0.000200909       0.5411772
c                 2034307       1.0000000               0       1.0000000       1.0000000
rmsa              2034307         2838.16         4114.85               0         9320.00
dev               2034307       0.0020525       0.8878046      -0.9953728       3.2043322
devsq             2034307       0.3941025       0.9981580    1.596595E-13      10.2677451
nonmover          2034307       0.6243654       0.6848844               0       1.0000000
-----------------------------------------------------------------------------------------
The SAS System                                                                          17:16 Friday, March 22, 2019   5

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
state              295980      23.5986925      15.6085056       1.0000000      56.0000000
age                295980      38.0327928      11.8928249      18.0000000      68.0000000
hispanic           295980       0.3412393       0.4741263               0       1.0000000
pob                295980     582.9397155     184.2707762     110.0000000     997.0000000
english            295980       1.4401074       1.2095342               0       4.0000000
ind                295980     507.2860970     283.2933070               0     991.0000000
educ               295980      11.4914623       4.4666703               0      20.0000000
imm                295980       1.0000000               0       1.0000000       1.0000000
msa                295980         5118.75         2482.16      40.0000000         9999.00
eclass             295980       2.1908338       1.1315008       1.0000000       4.0000000
dropout            295980       0.3670620       0.4820044               0       1.0000000
somecoll           295980       0.1661464       0.3722126               0       1.0000000
collplus           295980       0.1958747       0.3968732               0       1.0000000
