The SAS System                                                                       21:11 Wednesday, March 27, 2019   1

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
wage              2467882      12.5041261      79.3261875       2.5125000     167.5000000
owage             2467882      13.0263102     292.6242777     0.000194250        27500.00
wage2             2330933      12.3532363      76.8405221       2.5125000     167.5000000
logwage2          2330933       2.2701406       4.2242547       0.9212783       5.1209834
female            3225492       0.5040255       3.1637122               0       1.0000000
c                 3225492       1.0000000               0       1.0000000       1.0000000
inschool          3225492       0.0934403       1.8416470               0       1.0000000
exp2              3225492       5.1915647      35.3095927       0.0100000      20.2500000
exp3              3225492      16.5880903     148.6588540     0.000999999      91.1250000
ic                3225492      -1.0000000               0      -1.0000000      -1.0000000
yrsinus           3225492               0               0               0               0
pre_exp           3225492               0               0               0               0
pre_exp1          3225492               0               0               0               0
yrsinus2          3225492               0               0               0               0
euro              3225492               0               0               0               0
hi_asian          3225492               0               0               0               0
mid_asian         3225492               0               0               0               0
mex               3225492               0               0               0               0
euro_ed           3225492               0               0               0               0
euro_coll         3225492               0               0               0               0
hi_asian_ed       3225492               0               0               0               0
hi_asian_coll     3225492               0               0               0               0
mid_asian_ed      3225492               0               0               0               0
mid_asian_coll    3225492               0               0               0               0
mex_ed            3225492               0               0               0               0
mex_coll          3225492               0               0               0               0
euro_yrs          3225492               0               0               0               0
hi_asian_yrs      3225492               0               0               0               0
mid_asian_yrs     3225492               0               0               0               0
mex_yrs           3225492               0               0               0               0
euro_yrs2         3225492               0               0               0               0
hi_asian_yrs2     3225492               0               0               0               0
mid_asian_yrs2    3225492               0               0               0               0
mex_yrs2          3225492               0               0               0               0
-----------------------------------------------------------------------------------------
The SAS System                                                                       21:11 Wednesday, March 27, 2019   4

The MEANS Procedure

Variable                N            Mean         Std Dev         Minimum         Maximum
-----------------------------------------------------------------------------------------
imm_ed            3225492               0               0               0               0
imm_coll          3225492               0               0               0               0
asian             3225492       0.0076870       0.5526407               0       1.0000000
black             3225492       0.0011055       0.2102730               0       1.0000000
asian_ed          3225492       0.0906866       6.7071412               0      20.0000000
black_ed          3225492       0.0138150       2.6711479               0      20.0000000
asian_coll        3225492     0.000671276       0.1638875               0       1.0000000
black_coll        3225492     0.000136606       0.0739514               0       1.0000000
hisp_ed           3225492       0.5596645      16.2546556               0      20.0000000
hisp_coll         3225492       0.0045408       0.4254217               0       1.0000000
p1                3225492       0.0850680       0.5003361       0.0010635       0.6671970
p2                3225492       0.0954893       0.4141510       0.0027291       0.2315465
p3                3225492       0.0920581       0.3206041       0.0049487       0.1591841
p4                3225492       0.1002380       0.2578865       0.0103030       0.1439071
p5                3225492       0.0986839       0.1900688       0.0175462       0.1332594
p6                3225492       0.0944012       0.1339621       0.0170211       0.1217199
p7                3225492       0.1096021       0.1998060       0.0097028       0.1489274
